,all_reviews,release_date,developer,game_details,languages,achievements,genre,mature_content,original_price
6142,73,"Sep 22, 2017",Pocket Money Games,Single-player,['English'],,"Action,Indie",,5.99
6144,75,"Jan 17, 2019","Egor Magurin,Shilov","Single-player,Steam Achievements,Steam Cloud,Profile Features Limited 
									","['English', 'Russian', 'Portuguese - Brazil', 'German', 'Spanish - Spain', 'Spanish - Latin America']",9.0,"Indie,Simulation,Strategy,Early Access",,6.99
6145,71,"Apr 19, 2016","Rageborn Studio, LLC",Single-player,['English'],,Casual,,2.99
6147,73,"Oct 31, 2001",N-Fusion Interactive,Single-player,['English'],,"Action,Strategy",,9.99
6148,71,"Mar 5, 2003",N-Fusion Interactive,Single-player,['English'],,Action,,9.99
6150,72,"Mar 3, 2014",Tomoaki Sugeno,"Single-player,Local Multi-Player,Shared/Split Screen,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support","['English', 'Japanese']",,"Action,Casual,Indie",,4.99
6151,72,"Dec 1, 2017",Wolf Pack,"Single-player,Steam Achievements,Full controller support",['English'],18.0,Action,,5.99
6152,61,"Jun 2, 2019",Chilla's Art,"Single-player,Steam is learning about this game 
									","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese']",,"Action,Adventure,Casual,Indie,Simulation,Strategy"," Mature Content Description  The developers describe the content like this:  Drug, Violence, and Gore  ",14.99
6153,65,"Jul 21, 2016",Frogshark,"Single-player,Local Multi-Player,Local Co-op,Shared/Split Screen,Full controller support",['English'],,"Action,Adventure,Casual,Indie,Sports,Early Access",,14.99
6154,62,"Aug 1, 2017",BattleGoat Studios,"Single-player,Multi-player,Online Multi-Player,Steam Achievements,Steam Trading Cards","['English', 'French', 'German', 'Spanish - Spain']",20.0,"Indie,Simulation,Strategy",,19.99
6155,61,"Feb 23, 2018",Gamers4Gamers Team,"Single-player,Steam Cloud","['English', 'German', 'Spanish - Spain', 'Russian']",,"Action,Adventure,Indie,RPG,Simulation,Early Access",,14.99
6157,60,"Sep 8, 2011",1C Entertainment,"Single-player,Multi-player,Co-op,Steam Cloud,Includes level editor","['English', 'German', 'Italian', 'Polish', 'Russian', 'Spanish - Spain', 'French']",22.0,Strategy,,7.99
6158,77,"Nov 5, 2015",Sunward Games,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",24.0,"Adventure,Casual",,64.94
6159,48,"Feb 24, 2017",Cosy Goat,"Single-player,Steam Achievements,Steam Trading Cards,Stats",['English'],54.0,"Indie,Simulation,Strategy",,14.99
6160,73,"Mar 27, 2019",Faritengames,"Single-player,Profile Features Limited 
									","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch']",,"Casual,Indie,Simulation,Strategy",,6.99
6161,68,"Nov 7, 2018",Daylight Studios,"Single-player,Steam Achievements,Steam Cloud","['English', 'French', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Russian']",52.0,"Casual,Indie,Simulation,Strategy",,14.99
6163,60,"Nov 10, 2014",Forever Entertainment S. A,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards",['English'],22.0,"Adventure,Indie,RPG,Simulation,Strategy",,14.99
6164,70,"Jun 6, 2011",Volition,"Single-player,Co-op,Steam Achievements,Partial Controller Support,Steam Cloud,Valve Anti-Cheat enabled,Steam Leaderboards","['English', 'French', 'German', 'Italian', 'Polish', 'Russian', 'Spanish - Spain']",58.0,Action,,19.99
6166,76,"Dec 31, 2000",Humongous Entertainment,"Single-player,Steam Cloud","['English', 'French', 'German', 'Dutch']",,"Adventure,Casual",,6.99
6167,65,"Sep 6, 2012",Ubisoft  Shanghaï,"Single-player,Partial Controller Support","['English', 'French', 'German', 'Italian', 'Spanish - Spain']",,"Action,Adventure",,14.99
6168,73,"Aug 6, 2014",Bedtime Digital Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",20.0,"Action,Casual,Indie",,5.99
6169,79,"Sep 26, 2005",Kylotonn,"Single-player,Partial Controller Support","['English', 'French', 'Italian', 'German']",,Action,,7.99
6170,74,"Nov 20, 2018",КиКо,"Single-player,Profile Features Limited 
									","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Vietnamese', 'Greek', 'Danish', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Spanish - Latin America', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']",,Action, Mature Content Description  The developers describe the content like this:  All the girls in the game wear sexy underwear.   ,86.56
6171,64,"Jun 3, 2019",Sunside Games,"Single-player,Steam is learning about this game 
									",['English'],,"Action,Adventure,Indie,Early Access", Mature Content Description  The developers describe the content like this:  Contains some violent deaths and horror elements.  Recommended for mature gamers.  ,14.99
6174,72,"Nov 17, 2016",Choice of Games,"Single-player,Steam Achievements,Captions available,Steam Cloud",['English'],27.0,"Adventure,Indie,RPG",,501.87
6175,63,"Apr 24, 2012","Arcen Games, LLC","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Partial Controller Support",['English'],98.0,"Action,Adventure,Indie",,14.99
6176,46,"Dec 16, 2016",MysteryTag,"Single-player,Steam Trading Cards","['English', 'German', 'Korean', 'Russian']",,"Casual,Indie",,7.99
6177,55,"Apr 17, 2011",Winter Wolves,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",['English'],8.0,"Casual,Indie,Simulation",,475.60
6179,78,"Feb 20, 2015",Hosted Games,"Single-player,Steam Achievements,Captions available,Steam Cloud",['English'],7.0,"Indie,RPG",,3.99
6180,72,"Nov 19, 2018",XWidgetSoft,"Single-player,Steam Cloud,Includes level editor","['English', 'Simplified Chinese', 'German', 'Russian', 'Japanese', 'Traditional Chinese', 'Arabic', 'Korean']",,"Animation & Modeling,Design & Illustration,Utilities",,24.93
6181,93,"Sep 13, 2017",Turbo Button,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Traditional Chinese']",9.0,"Adventure,Indie",,5.99
6182,67,"Aug 12, 2014",Piranha Bytes,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Russian']",50.0,RPG,,14.99
6185,74,"Jul 22, 2016",Bulletproof Outlaws,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Turkish', 'Ukrainian']",17.0,"Action,Casual,Indie",,6.99
6186,52,"Apr 24, 2018",onebitbeyond,"Single-player,Local Multi-Player,Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud","['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Japanese']",20.0,"Action,Adventure,Indie,RPG",,14.99
6187,97,"Apr 4, 2016",Nathan Rowe,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Cross-Platform Multiplayer,Includes level editor",['English'],,Indie,,19.99
6189,72,"Oct 11, 2017",Handelabra Games Inc,"Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards",['English'],17.0,"Indie,Sports,Strategy",,6.99
6190,65,"Sep 10, 2013",The Chinese Room,"Single-player,Full controller support,Captions available,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Hungarian', 'Polish', 'Portuguese - Brazil', 'Russian']",7.0,"Action,Adventure,Indie",,19.99
6192,75,"Jul 6, 2006",Strategy First,"Single-player,Multi-player,Co-op",['English'],,Strategy,,6.99
6194,78,"Nov 23, 2017",Easy game,"Single-player,Steam Achievements,Steam Cloud",['English'],1505.0,"Action,Casual,Indie",,0.99
6195,53,"Dec 25, 2017",Lockem Reality Inc,"Single-player,Steam Achievements",['English'],32.0,Action,,14.99
6196,79,"Mar 31, 1997",DotEmu,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain']",15.0,Adventure,,6.99
6197,72,"Dec 20, 2016",OrangeGames,"Single-player,Steam Achievements",['English'],41.0,Strategy,,6.99
6198,74,"Sep 22, 2016",Monkey Stories,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","['English', 'French', 'Spanish - Spain', 'Italian', 'Russian', 'German', 'Japanese']",28.0,"Action,Adventure,Indie,RPG",,9.99
6199,88,"Apr 6, 2018",7 Box Games,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards","['English', 'Simplified Chinese']",15.0,"Action,Indie",,0.99
6201,55,"Jan 10, 2019",Thunder Devs,"Single-player,Multi-player,MMO,Profile Features Limited 
									","['English', 'German', 'Russian']",12.0,"Action,Massively Multiplayer"," Mature Content Description  The developers describe the content like this:  Second World War, blood, critical situations.  ",4.99
6202,70,"Jan 20, 2003",United Independent Entertainment GmbH,Single-player,"['English', 'German']",,Strategy,,7.99
6204,72,"Dec 6, 2012",Crystal Dynamics,Single-player,['English'],,"Action,Adventure",,6.99
6205,70,"Apr 24, 2001",GSC Game World,Single-player,['English'],,Strategy,,4.99
6206,79,"Aug 15, 1995",The 3DO Company,Single-player,['English'],,Action,,9.99
6209,83,"Dec 22, 2017",Enter Name Here,"Single-player,Steam Achievements","['English', 'Russian']",102.0,Casual,,1.99
6211,40,"Mar 17, 2004",Impressions Games,Single-player,['English'],,"Simulation,Strategy",,4.99
6214,80,"Oct 11, 2017",Anxious Neck Games,"Single-player,Partial Controller Support",['English'],,"Action,Adventure,Indie",,0.99
6216,66,"Nov 13, 2007",IO Interactive,"Single-player,Multi-player,Shared/Split Screen,Partial Controller Support","['English', 'French', 'German', 'Italian', 'Spanish - Spain']",,Action,,6.99
6217,70,"Oct 24, 2018",Steppe Hare Studio,"Single-player,Steam Achievements,Profile Features Limited 
									","['English', 'Russian']",22.0,"Action,Adventure,Indie,Early Access"," Mature Content Description  The developers describe the content like this:  This game contains scenes of light violence (shooting and attack spells), but no blood or gore.  ",17.95
6218,58,"Aug 2, 2006",Kheops Studio,Single-player,"['English', 'German', 'Italian', 'Spanish - Spain']",,"Adventure,Casual",,4.99
6220,87,"Jul 11, 2017",NedoStudio,"Single-player,Steam Achievements",['English'],40.0,"Casual,Indie",,0.99
6221,94,"Apr 11, 2019",Crew Lab,"Single-player,Steam Achievements,Profile Features Limited 
									","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Vietnamese', 'Greek', 'Danish', 'Spanish - Latin America', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']",78.0,"Casual,Indie",,0.99
6222,100,"Mar 16, 2019",Tuwi Michael Nannings,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Profile Features Limited 
									",['English'],100.0,Casual,,0.99
6223,40,"Mar 1, 2015",KABloom Interactive,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,In-App Purchases,Partial Controller Support",['English'],,"Free to Play,Indie,Racing,Simulation",,0 To Play
6224,50,"Apr 28, 2017",The Archotek Project Team,"Multi-player,Online Multi-Player,Cross-Platform Multiplayer","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Hungarian', 'Portuguese - Brazil']",9.0,"Casual,Indie,Simulation,Strategy,Early Access",,4.99
6226,48,"Jan 30, 2017","Quicksilver Software, Inc","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements",['English'],78.0,"Indie,Strategy",,0
6228,79,"Nov 10, 2017",Konstructors Entertainment,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats","['English', 'Simplified Chinese', 'Russian', 'Ukrainian', 'Spanish - Spain', 'Portuguese', 'Portuguese - Brazil', 'Turkish']",10.0,"Casual,Indie"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Nudity or Sexual Content, General Mature Content  ",4.99
6229,77,"Feb 9, 2018",D.K Studio,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'Japanese', 'Traditional Chinese']",42.0,"Action,Adventure,Indie,RPG"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Nudity or Sexual Content, General Mature Content  ",3.99
6230,94,"Oct 19, 2018",Mafu Games,"Single-player,Steam Achievements,Partial Controller Support,Stats,Steam Leaderboards,Profile Features Limited 
									","['English', 'Portuguese - Brazil', 'Spanish - Latin America', 'Simplified Chinese']",43.0,"Action,Adventure,Indie",,2.99
6231,68,"Mar 28, 2018",Majorariatto,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud","['English', 'Spanish - Spain', 'Japanese', 'Korean', 'Finnish', 'Portuguese', 'Russian', 'Simplified Chinese', 'French', 'Italian', 'German']",12.0,"Action,Indie",,4.99
6234,92,"Jul 6, 2017",Gamestone Studio,"Single-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements","['English', 'Polish', 'Spanish - Spain', 'Russian']",15.0,"Action,Casual,Indie",,2.99
6235,75,"Sep 22, 2016",LLC Intenzibne,"Multi-player,Online Multi-Player,Online Co-op,Full controller support","['English', 'Russian', 'Simplified Chinese']",,"Action,Indie,Racing,Early Access",,7.99
6236,76,"Sep 1, 2018",КиКо,"Single-player,Steam Trading Cards","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Greek', 'Danish', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese', 'Spanish - Latin America', 'Vietnamese']",,Action," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Nudity or Sexual Content, General Mature Content  ",5.98
6237,91,"Dec 19, 2018",Quiet River,"Single-player,Steam Achievements,Partial Controller Support,Profile Features Limited 
									","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Vietnamese', 'Greek', 'Danish', 'Spanish - Latin America', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']",100.0,"Casual,Indie",,0.99
6239,76,"Oct 18, 2005",Rebellion,"Single-player,Steam Trading Cards","['English', 'French', 'German', 'Italian', 'Spanish - Spain']",,Action,,7.99
6243,60,"Feb 28, 2013",Ntronium Games,"Single-player,Multi-player","['English', 'German']",,"Indie,Strategy",,19.99
6244,85,"Sep 11, 2018",Siberian Mouse,"Single-player,Steam Achievements,Profile Features Limited 
									","['English', 'Russian']",99.0,"Adventure,Casual,Indie",,1.99
6245,70,"May 27, 2016",Носков Сергей,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","['English', 'Russian']",20.0,Indie,,8.99
6246,89,"Jun 30, 1996",Gremlin Interactive,"Single-player,Steam Trading Cards",['English'],,"Action,Adventure",,2.99
6247,67,"Apr 25, 2018","Marvelous, Inc","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese']",14.0,Action," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Frequent Violence or Gore, General Mature Content  ",14.99
6248,68,"May 9, 2018",GamerzDan,"Steam Workshop,Steam Cloud,Stats","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese']",,"Animation & Modeling,Software Training,Utilities,Early Access",,2.99
6252,61,"Dec 9, 2016",Aggroblakh,"Single-player,Steam Achievements,Steam Trading Cards",['English'],25.0,"Simulation,Sports,Strategy",,4.99
6254,71,"Aug 21, 2012",Fishlabs Entertainment GmbH,"Single-player,Steam Achievements,Partial Controller Support","['English', 'French', 'German', 'Italian', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Traditional Chinese']",92.0,"Action,Indie,Simulation,Strategy",,7.99
6255,73,"Mar 28, 2017",Neoclassic Games,"Single-player,Steam Achievements,Steam Trading Cards","['English', 'French', 'Italian', 'German', 'Russian']",19.0,"Adventure,Casual",,4.99
6257,81,"Dec 31, 2018",quanhome,"Single-player,Partial Controller Support,Profile Features Limited 
									","['English', 'Simplified Chinese']",1.0,RPG,,0.99
6258,78,"Aug 18, 2015",Marxnet,"Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support,Stats,Steam Leaderboards","['English', 'French', 'Italian', 'German', 'Portuguese - Brazil', 'Simplified Chinese', 'Swedish', 'Traditional Chinese', 'Spanish - Spain', 'Czech', 'Polish', 'Portuguese', 'Russian', 'Ukrainian']",136.0,"Adventure,Free to Play,Indie,Massively Multiplayer,RPG,Early Access",,0 to Play
6259,92,"Mar 8, 2019",Zachary Lee,"Single-player,Steam Achievements,Full controller support,Profile Features Limited 
									",['English'],7.0,"Action,Indie",,0.99
6260,81,"May 2, 2019",RewindApp,"Steam is learning about this game 
									",['English'],,"Casual,Indie,Racing,Simulation",,0.99
6261,59,"Jul 21, 2017",Kerim Kumbasar,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases,Steam Cloud,Steam Leaderboards","['English', 'Turkish', 'Korean', 'Russian']",46.0,"Action,Adventure,Casual,Indie,Simulation,Strategy",,14.99
6262,84,"Feb 28, 2018",Ripknot Systems,"Single-player,Steam Achievements",['English'],5000.0,"Action,Casual",,514.39
6263,72,"Feb 14, 2017",Big Fish Studios,"Single-player,Steam Trading Cards",['English'],,"Adventure,Casual",,9.99
6265,53,"Jul 4, 2017",Reconnect Software,Single-player,['English'],,"Indie,Simulation,Strategy,Early Access",,3.99
6266,86,"Oct 28, 2016",Schmidt Workshops,"Single-player,Steam Achievements,Steam Trading Cards","['English', 'German']",2.0,"Casual,Indie,Simulation",,0.99
6267,69,"Sep 1, 2008","rojekti,Saucer Software","Multi-player,Online Multi-Player,MMO",['English'],,"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG",,0 To Play
6272,81,"Mar 18, 2019",КиКо,"Single-player,Steam Achievements,Full controller support,Profile Features Limited 
									","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Vietnamese', 'Greek', 'Danish', 'Spanish - Latin America', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']",100.0,Casual,,1.98
6273,100,"Apr 18, 2019",Ruskija Game Experience,"Single-player,Steam Achievements,Steam is learning about this game 
									",['English'],6.0,"Action,Adventure,Indie",,0.99
6275,80,"Mar 31, 2017",Radcroc,"Single-player,Full controller support",['English'],,Action,,0.99
6276,92,"Apr 24, 2019",Velvet Paradise Games,"Single-player,Steam is learning about this game 
									",['English'],,"Adventure,Casual,Indie,RPG,Early Access", Mature Content Description  The developers describe the content like this:  This is a role-playing game involving partial nudity.  Your conversations with NPCs will sometimes involve sexual flirtation.  The game contains depictions of consensual sexual interactions between the player and the NPCs. There are NO depictions of sexual assault or non-consensual sex in this game.    ,0.99
6279,50,"Feb 15, 2019",M CHEHRAZ,"Profile Features Limited 
									",['English'],,"Software Training,Utilities,Video Production",,9.99
6281,79,"May 16, 2019",Disquire,"Single-player,Online Multi-Player,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases,Steam is learning about this game 
									","['English', 'Russian', 'Ukrainian']",100.0,"Action,Free to Play,Indie,Massively Multiplayer,RPG,Early Access",,0 To Play
6282,75,"Dec 14, 2018",Unreal Gaming,"Single-player,Steam Achievements,Profile Features Limited 
									","['English', 'Russian']",10.0,"Casual,Indie,RPG"," Mature Content Description  The developers describe the content like this:  This game contains nudity, sexual content and is accompanied by graphic/explicit voice acting, unsuitable for all ages or for viewing at work: Nudity or scenes.  ",1.99
6284,79,"Oct 11, 2017",For Kids,"Single-player,Steam Achievements","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Portuguese - Brazil', 'Hungarian', 'Greek', 'Danish', 'Traditional Chinese', 'Simplified Chinese', 'Korean', 'Dutch', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Thai', 'Turkish', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese']",31.0,"Casual,Indie",,0.99
6286,77,"Apr 13, 2019",Zloy Krot Studio,"Single-player,Steam Achievements,Profile Features Limited 
									",['English'],32.0,"Casual,Indie", Mature Content Description  The developers describe the content like this:  Girl in underwear. All characters appearing in this game are over 18 years of age.  ,9.90
6287,95,"Jan 27, 2017",Razzart Visual,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","['English', 'Simplified Chinese']",13.0,"Casual,Indie"," Mature Content Description  The developers describe the content like this:  This Game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Nudity or Sexual Content, General Mature Content  ",9.99
6288,97,"Dec 9, 2016","Lump of Sugar,HIKARI FIELD","Single-player,Steam Trading Cards","['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",,Adventure,,34.99
6289,95,"Apr 17, 2017",marnamai,Single-player,['English'],,"Action,Free to Play",,0
6290,57,"Apr 5, 2012",David Williamson,"Single-player,Steam Achievements,Steam Trading Cards",['English'],17.0,"Casual,Indie,RPG",,6.99
6291,97,"Oct 12, 2015",CD PROJEKT RED,"Single-player,Downloadable Content,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Simplified Chinese', 'Turkish']",,RPG," Mature Content Description  The developers describe the content like this:  This DLC may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Nudity or Sexual Content, General Mature Content  ",9.99
6293,42,"Apr 3, 2018",upjers,"Single-player,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Bulgarian', 'Danish', 'Greek', 'Dutch', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Swedish', 'Czech', 'Turkish', 'Hungarian']",40.0,"Casual,Free to Play,Simulation",,0 To Play
6294,61,"Jan 17, 2017",Dead Drop Studios LLC,"Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Stats",['English'],39.0,"Action,Adventure,Indie,RPG",,63.86
6295,62,"Oct 4, 2018",Juvty Worlds Ltd,"Multi-player,Online Multi-Player,MMO,Co-op,In-App Purchases,Profile Features Limited 
									","['English', 'Russian', 'Spanish - Spain']",,"Adventure,Indie,Massively Multiplayer,RPG,Strategy",,9.99
6296,66,"Aug 18, 2015",Humongous Entertainment,"Single-player,Steam Cloud",['English'],,Casual,,6.99
6298,53,"Aug 15, 2003",Humongous Entertainment,"Single-player,Steam Cloud","['English', 'Dutch']",,"Adventure,Casual",,6.99
6299,45,"Dec 6, 2018",RainySoft,"Steam Cloud,Profile Features Limited 
									","['English', 'Simplified Chinese', 'German']",,"Animation & Modeling,Design & Illustration,Utilities,Early Access",,14.96
6302,58,"Jan 12, 2010",Manga Entertainment,Captions available,"['English', 'French', 'German', 'Japanese', 'Italian']",,,,3.99
6303,62,"Mar 8, 2017",Vibrant Visuals - Christian Klötzel,Single-player,"['English', 'German', 'Simplified Chinese']",,"Adventure,Casual,Indie,Simulation",,6.99
6304,64,"Sep 17, 2015",Shenandoah Studio,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements","['English', 'Spanish - Spain', 'Japanese']",31.0,Strategy,,9.99
6305,57,"Apr 25, 2017",Prey Interactive,"Single-player,Steam Achievements,Steam Trading Cards,Captions available,Stats,Includes level editor",['English'],43.0,"Adventure,Casual,Indie,Simulation,Strategy",,6.99
6306,68,"Sep 22, 2009",Wargaming.net,Single-player,"['English', 'French', 'German', 'Italian', 'Polish', 'Russian', 'Spanish - Spain']",,Strategy,,7.99
6307,66,"Apr 15, 2019",LeonWaan Games,"Single-player,Profile Features Limited 
									","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Ukrainian', 'Russian', 'Bulgarian', 'Hungarian', 'Turkish', 'Greek', 'Norwegian', 'Czech', 'Japanese', 'Polish', 'Thai', 'Swedish', 'Simplified Chinese', 'Traditional Chinese', 'Romanian', 'Finnish', 'Dutch', 'Portuguese', 'Portuguese - Brazil', 'Spanish - Latin America', 'Vietnamese', 'Arabic', 'Korean']",20.0,"Casual,Indie,RPG,Simulation,Strategy"," Mature Content Description  The developers describe the content like this:  This game may contain content not appropriate for all ages, or may not be appropriate for viewing at work: Nudity, Mature, or Sexual Content.  All characters built into this game are over the age of 18.  ",14.94
6311,68,"May 1, 2015",Ambiera e.U,Includes level editor,"['English', 'German', 'French', 'Arabic', 'Portuguese - Brazil', 'Russian', 'Turkish', 'Spanish - Spain', 'Simplified Chinese', 'Polish', 'Czech']",,"Animation & Modeling,Design & Illustration,Education,Software Training,Utilities",,74.99
6312,77,"May 11, 2016",Robert Alvarez,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support",['English'],18.0,"Action,Adventure,Indie",,0.99
6313,67,"Mar 30, 2018",Dieselmine,"Single-player,Steam Trading Cards,Steam Cloud","['English', 'Japanese', 'Traditional Chinese']",,"Adventure,Indie,RPG"," Mature Content Description  The developers describe the content like this:  Nuidity or Sexual Content, Non-Consensual Sex, Explicit Sexual Acts, Adult Only  ",1.99
6315,77,"Feb 20, 2017",AirWave Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards",['English'],12.0,"Action,Indie,Strategy",,1.99
6316,52,"Jul 29, 2013","United Independent Entertainment GmbH,Crafty Studios","Single-player,Steam Achievements,Steam Cloud,Stats","['English', 'German']",41.0,"Adventure,Indie,RPG",,14.99
